Score	mOS_months	mOS025_months	mOS975_months
0.0	2.177423397524675	0.394250513	9.396303901
0.01	2.177423397524675	0.394250513	9.396303901
0.02	2.177423397524675	0.394250513	9.396303901
0.03	2.177423397524675	0.394250513	9.396303901
0.04	2.177423397524675	0.394250513	9.396303901
0.05	2.177423397524675	0.394250513	9.396303901
0.06	2.177423397524675	0.394250513	9.396303901
0.07	2.177423397524675	0.394250513	9.396303901
0.08	2.177423397524675	0.394250513	9.396303901
0.09	2.177423397524675	0.394250513	9.396303901
0.1	2.177423397524675	0.394250513	9.396303901
0.11	2.177423397524675	0.394250513	9.396303901
0.12	2.177423397524675	0.394250513	9.396303901
0.13	2.177423397524675	0.394250513	9.396303901
0.14	2.177423397524675	0.394250513	9.396303901
0.15	2.177423397524675	0.394250513	9.396303901
0.16	2.177423397524675	0.394250513	9.396303901
0.17	2.177423397524675	0.394250513	9.396303901
0.18	2.177423397524675	0.394250513	9.396303901
0.19	2.177423397524675	0.394250513	9.396303901
0.2	2.177423397524675	0.394250513	9.396303901
0.21	2.177423397524675	0.394250513	9.396303901
0.22	1.4655060637331572	0.394250513	9.396303901
0.23	1.8839034459219561	0.821355236	2.661190965
0.24	1.8839034459219561	0.821355236	2.661190965
0.25	2.7374784394380005	1.80698152	5.979466119
0.26	5.003991786444001	2.234086242	9.396303901
0.27	4.885946611866999	2.234086242	9.396303901
0.28	4.493667350946	2.694045175	7.556468172
0.29	4.76409034889	3.154004107	6.373716632
0.3	5.004057494746	3.909650924	7.556468172
0.31	5.760098562514	3.975359343	9.002053388
0.32	6.443860369504	4.041067762	10.02053388
0.33	7.261930184729	4.566735113	10.11909651
0.34	7.7936098563159995	5.026694045	10.71047228
0.35	8.446127310119	5.815195072	11.07186858
0.36	8.667728952867002	5.815195072	11.07186858
0.37	9.018250513507	6.012320329	12.35318275
0.38	10.561051334889	7.852156057	14.29158111
0.39	12.30988090326	9.659137577	17.28131417
0.4	13.619449691949	10.05338809	17.51540040625
0.41	13.710390143587	10.21765914	19.38398357
0.42	15.772550308427002	10.97330596	21.02669405
0.43	18.070521560430002	12.1889117	26.31622177
0.44	22.79218069966	13.83162218	60.0
0.45	25.529305954850003	14.29158111	60.0
0.46	24.36307186871	14.29158111	60.0
0.47	26.48791786463	14.29158111	60.0
0.48	27.09432443521	21.02669405	60.0
0.49	24.637034906830007	13.83162218	60.0
0.5	23.395080081584	11.26899384	60.0
0.51	19.622299794779998	10.34907598	60.0
0.52	16.266628337819	9.330595483	25.49486653
0.53	15.643852157607	8.27926078	25.49486653
0.54	12.974570842762999	6.176591376	21.407802874999952
0.55	12.241429159046	5.979466119	21.35523614
0.56	14.923326489370998	6.176591376	25.49486653
0.57	17.738915812143997	7.12936345	26.05338809
0.58	16.319540041417998	6.53798768	26.05338809
0.59	20.888032855181997	7.227926078	35.58110883
0.6	23.530710473366003	10.11909651	60.0
0.61	22.368558522746	11.59753593	35.58110883
0.62	24.401305956	14.55441478	60.0
0.63	26.897930185368	14.55441478	60.0
0.64	30.575548255036004	15.67145791	60.0
0.65	36.931063655239996	18.36550308	60.0
0.66	42.66514989771999	18.36550308	60.0
0.67	53.346086242540004	18.36550308	60.0
0.68	54.845486653150004	18.36550308	60.0
0.69	52.78338398371999	18.36550308	60.0
0.7	51.89031622192	18.36550308	60.0
0.71	58.571359342950004	21.38809035	60.0
0.72	59.575268993849996	60.0	60.0
0.73	58.45552361400001	21.38809035	60.0
0.74	58.8416427105	21.38809035	60.0
0.75	57.721897330649995	21.38809035	60.0
0.76	52.045946612099996	21.38809035	60.0
0.77	52.045946612099996	21.38809035	60.0
0.78	54.19494045188	21.38809035	60.0
0.79	59.954340605489406	60.0	60.0
0.8	60.0	60.0	60.0
0.81	59.67843734038579	60.0	60.0
0.82	59.20122137142263	60.0	60.0
0.83	55.978991245524625	14.75154004	60.0
0.84	53.31421172094987	14.75154004	60.0
0.85	54.238311550084894	14.75154004	60.0
0.86	54.238311550084894	14.75154004	60.0
0.87	46.37929011408163	14.75154004	60.0
0.88	60.0	60.0	60.0
0.89	60.0	60.0	60.0
0.9	60.0	60.0	60.0
0.91	60.0	60.0	60.0
0.92	60.0	60.0	60.0
0.93	60.0	60.0	60.0
0.94	60.0	60.0	60.0
0.95	60.0	60.0	60.0
0.96	60.0	60.0	60.0
0.97	60.0	60.0	60.0
0.98	60.0	60.0	60.0
0.99	60.0	60.0	60.0
1.0	60.0	60.0	60.0
