Score	mPFS_months	mPFS025_months	mPFS975_months
0.0	0.8363389549665275	0.624229979	1.248459959
0.01	0.8363389549665275	0.624229979	1.248459959
0.02	0.8363389549665275	0.624229979	1.248459959
0.03	0.8363389549665275	0.624229979	1.248459959
0.04	0.8363389549665275	0.624229979	1.248459959
0.05	0.7641889116755557	0.624229979	1.248459959
0.06	0.8532666095397352	0.657084189	1.379876797
0.07	0.7770548312098394	0.657084189	1.084188912
0.08	0.831868583139	0.624229979	1.379876797
0.09	0.9760657084080001	0.689938398	1.577002053
0.1	1.2320657083850002	0.722792608	1.708418891
0.11	1.4046488706430003	0.887063655	1.708418891
0.12	1.356845995955	0.919096508775	1.675564682
0.13	1.325075975362	0.95195071875	1.609856263
0.14	1.2804271047010003	0.919917864	1.544147844
0.15	1.2646570841780003	1.0168377825250001	1.478439425
0.16	1.3137741273130001	1.018480493	1.577002053
0.17	1.3928870636890003	1.215605749	1.609856263
0.18	1.3689691991730004	1.215605749	1.609856263
0.19	1.3311211498340003	1.149897331	1.544147844
0.2	1.32008213547	1.149897331	1.412731006
0.21	1.3230061601200003	1.149897331	1.478439425
0.22	1.3800410677480002	1.248459959	1.577002053
0.23	1.4054045174540004	1.248459959	1.609856263
0.24	1.4303737166260002	1.281314168	1.609856263
0.25	1.5271622175810002	1.379876797	1.77412731
0.26	1.6213552361050003	1.412731006	1.839835729
0.27	1.7174866529660004	1.478439425	2.004106776
0.28	1.7918357289480005	1.609856263	2.102669405
0.29	1.9224312114530002	1.675564682	2.234086242
0.3	2.018628336697	1.80698152	2.299794661
0.31	2.058020533833	1.839835729	2.299794661
0.32	2.1158439424569995	1.872689938	2.529774127
0.33	2.2002464065120004	1.905544148	2.595482546
0.34	2.2161806981159997	1.938398357	2.595482546
0.35	2.2524517453110002	2.004106776	2.595482546
0.36	2.196993839762	1.938398357	2.595482546
0.37	2.265954825377	2.004106776	2.595482546
0.38	2.351277207356	2.068993839775	2.694045175
0.39	2.3666529773689997	2.069815195	2.694045175
0.4	2.401839835676	2.069815195	2.726899384
0.41	2.446028747438	2.069815195	2.759753593
0.42	2.4525667351129994	2.102669405	2.726899384
0.43	2.546924024686	2.168377823	2.924024641
0.44	2.868796714661	2.431211499	3.613963039
0.45	2.892911704374	2.429568788525	3.613963039
0.46	3.104065708488	2.628336756	3.811088296
0.47	3.1019958932620004	2.529774127	3.876796715
0.48	3.129659137563	2.496919918	3.975359343
0.49	3.3152197125129996	2.529774127	4.205338809
0.5	3.559917864416	2.595482546	4.698151951
0.51	3.775310061516	2.661190965	4.895277207
0.52	4.118078028641	2.726899384	5.125256674
0.53	3.869437371622	2.595482546	5.125256674
0.54	3.7794168377629993	2.595482546	5.059548255
0.55	4.429733059481	2.858316222	5.94661191
0.56	4.54097741266	2.858316222	6.209445585
0.57	4.983786447575	3.416837782	6.570841889
0.58	4.766948665234999	3.318275154	6.209445585
0.59	5.237322381855	4.041067762	7.063655031
0.6	4.852829568737	3.54825462	7.063655031
0.61	4.774143737123	3.318275154	7.359342916
0.62	4.790603696071999	3.252566735	7.071047228124993
0.63	5.11441478442	3.876796715	7.359342916
0.64	4.976164271054	3.28459958975	7.195071869
0.65	4.849248459959999	3.252566735	6.770431211699998
0.66	4.997683778267	3.876796715	6.866529774
0.67	5.146841889159999	3.712525667	7.212320328949985
0.68	5.788648870687	4.106776181	8.579055441199998
0.69	6.315203285505	4.138809034775	9.330595483
0.7	8.06156878868	5.32238193	12.71457906
0.71	8.672000000315	5.388090349	14.35728953
0.72	9.252928131780997	5.519507187	14.358932240499998
0.73	10.804837782903	6.866529774	16.42710472
0.74	10.760147844543	6.363860369175001	16.75564682
0.75	10.880443532222998	5.585215606	16.75564682
0.76	12.353872690158997	5.979466119	19.35112936
0.77	18.543236138733	7.359342916	60.0
0.78	30.181667349481003	7.391375769775	60.0
0.79	31.884550306604005	8.049281314	60.0
0.8	35.932928130002004	8.049281314	60.0
0.81	39.328164270242006	8.443531828	60.0
0.82	41.755835728192004	8.344969199	60.0
0.83	27.575827515422002	7.359342916	60.0
0.84	50.707531827518004	15.34291581	60.0
0.85	52.973963039001006	15.34291581	60.0
0.86	51.89711704313	15.34291581	60.0
0.87	54.47741273127901	15.34291581	60.0
0.88	56.002685831851	20.73100616	60.0
0.89	57.210184805074	26.80903491	60.0
0.9	56.887096509419	26.80903491	60.0
0.91	55.946669404742	26.80903491	60.0
0.92	57.238595482710004	26.80903491	60.0
0.93	59.84292402464	60.0	60.0
0.94	58.93973716632	20.73100616	60.0
0.95	58.53088698475228	20.73100616	60.0
0.96	59.17066538880676	60.0	60.0
0.97	57.69818324501759	20.73100616	60.0
0.98	60.0	60.0	60.0
0.99	60.0	60.0	60.0
1.0	60.0	60.0	60.0
