Score	mPFS_months	mPFS025_months	mPFS975_months
0.0	0.8937685956462588	0.624229979	1.4209445586999971
0.01	0.8937685956462588	0.624229979	1.4209445586999971
0.02	0.8937685956462588	0.624229979	1.4209445586999971
0.03	0.8937685956462588	0.624229979	1.4209445586999971
0.04	0.8937685956462588	0.624229979	1.4209445586999971
0.05	0.7842852209314161	0.59137577	1.248459959
0.06	0.7449781269755434	0.624229979	0.919917864
0.07	0.8484987353572964	0.689938398	1.248459959
0.08	0.8242135523840002	0.624229979	1.379876797
0.09	1.018611909682	0.689938398	1.609856263
0.1	1.09539219716	0.689938398	1.675564682
0.11	1.2367638603599997	0.722792608	1.708418891
0.12	1.300731006121	0.887063655	1.708418891
0.13	1.339663244361	0.887063655	1.675564682
0.14	1.302308008189	0.919917864	1.609856263
0.15	1.3231704311960002	0.952772074	1.609856263
0.16	1.3447227926260001	1.018480493	1.609856263
0.17	1.3424558521180001	1.018480493	1.609856263
0.18	1.4025790554470001	1.215605749	1.675564682
0.19	1.3424229979130002	1.149897331	1.577002053
0.2	1.2937987679220002	1.018480493	1.544147844
0.21	1.2856837781880002	1.018480493	1.511293634
0.22	1.2823655030130001	1.117043121	1.511293634
0.23	1.3229404516770003	1.18275154	1.479260780224999
0.24	1.3737987679110004	1.18275154	1.609856263
0.25	1.4366488705650005	1.248459959	1.642710472
0.26	1.4984804927490003	1.347022587	1.80698152
0.27	1.5184558520830003	1.347022587	1.80698152
0.28	1.5012731006010003	1.347022587	1.77412731
0.29	1.5651745380150002	1.379876797	1.80698152
0.3	1.6606160164590005	1.412731006	1.872689938
0.31	1.7738316222300003	1.60903490775	2.168377823
0.32	1.8346776181090003	1.609856263	2.234086242
0.33	1.9315318275210005	1.675564682	2.36550308
0.34	2.030225872622	1.708418891	2.39835729
0.35	2.120509240175	1.839835729	2.529774127
0.36	2.180566735046	1.872689938	2.529774127
0.37	2.269371663161	1.938398357	2.595482546
0.38	2.431047227833	2.036960986	2.825462012
0.39	2.6397043120120003	2.168377823	3.154004107
0.4	2.719967145691	2.2332648867750002	3.254209445474998
0.41	2.648706365431	2.168377823	3.1548254622249994
0.42	2.620287474269	2.135523614	3.154004107
0.43	2.71241067758	2.234086242	3.285420945
0.44	2.7688870636869996	2.464065708	3.285420945
0.45	2.8189240247039997	2.496919918	3.383983573
0.46	2.688854209481	2.234086242	3.318275154
0.47	2.735014373786	2.234086242	3.383983573
0.48	2.762349076112	2.332648871	3.383983573
0.49	2.637075975448	2.266940452	3.1236139627249977
0.5	2.725782340982	2.431211499	3.285420945
0.51	2.819482546279	2.496919918	3.449691992
0.52	3.077815195149	2.628336756	3.811088296
0.53	3.169182751601	2.628336756	3.942505133
0.54	3.1836714579609997	2.628336756	4.041067762
0.55	3.4235728953059996	2.661190965	4.205338809
0.56	3.8080328542540003	2.98973306	4.796714579
0.57	3.716073922008	2.759753593	4.796714579
0.58	3.9657987679569997	2.98973306	4.960985626
0.59	4.5497823408419995	3.712525667	5.650924025
0.6	4.902735112966	3.712525667	6.078028747
0.61	5.298299794640999	3.909650924	6.866529774
0.62	5.305856262810001	3.613963039	6.932238193
0.63	5.600197125218999	3.909650924	7.063655031
0.64	6.800985626169	5.289527721	9.626283368
0.65	7.036681724766	5.32238193	10.05338809
0.66	7.972895277288	5.585215606	13.30595483
0.67	9.168689938264	5.585215606	15.34291581
0.68	10.230981519476	5.848049281	18.0698152
0.69	10.695310061708998	5.585215606	26.41478439
0.7	9.800862423022998	5.289527721	26.41478439
0.71	10.584468172139001	5.289527721	60.0
0.72	15.418390143444	5.420944559	60.0
0.73	16.187917864815002	6.373716632	60.0
0.74	18.810332649115	5.979466119	60.0
0.75	17.455055441837	5.979466119	60.0
0.76	19.029601643209	6.373716632	60.0
0.77	19.908336756696002	5.979466119	60.0
0.78	16.131244354093	4.1724846	60.0
0.79	14.850275154854002	4.1716632447499995	60.0
0.8	22.056870637747	6.275154004	60.0
0.81	36.445330596309006	6.735112936	60.0
0.82	39.024739220546	6.373716632	60.0
0.83	54.09184394283	8.443531828	60.0
0.84	47.565412731605	6.735112936	60.0
0.85	48.623154004714	8.443531828	60.0
0.86	49.666661191442	6.735112936	60.0
0.87	46.857568789079	9.593429158	60.0
0.88	52.647745380260005	20.73100616	60.0
0.89	56.070028747663	26.80903491	60.0
0.9	57.614735113089004	26.80903491	60.0
0.91	56.30205338832901	26.80903491	60.0
0.92	59.149921971249	60.0	60.0
0.93	56.10472073714815	20.73100616	60.0
0.94	58.25533995326647	20.73100616	60.0
0.95	57.672908853317146	20.73100616	60.0
0.96	56.47446878508287	20.73100616	60.0
0.97	60.0	60.0	60.0
0.98	60.0	60.0	60.0
0.99	60.0	60.0	60.0
1.0	60.0	60.0	60.0
