Score	mPFS_months	mPFS025_months	mPFS975_months
0.0	1.1112065562893982	0.394250513	2.759753593
0.01	1.1112065562893982	0.394250513	2.759753593
0.02	1.1112065562893982	0.394250513	2.759753593
0.03	1.1112065562893982	0.394250513	2.759753593
0.04	1.1112065562893982	0.394250513	2.759753593
0.05	1.1112065562893982	0.394250513	2.759753593
0.06	1.1112065562893982	0.394250513	2.759753593
0.07	1.1112065562893982	0.394250513	2.759753593
0.08	1.1112065562893982	0.394250513	2.759753593
0.09	1.1112065562893982	0.394250513	2.759753593
0.1	1.1112065562893982	0.394250513	2.759753593
0.11	1.1112065562893982	0.394250513	2.759753593
0.12	1.1112065562893982	0.394250513	2.759753593
0.13	1.1112065562893982	0.394250513	2.759753593
0.14	1.1112065562893982	0.394250513	2.759753593
0.15	1.1112065562893982	0.394250513	2.759753593
0.16	1.1112065562893982	0.394250513	2.759753593
0.17	1.1112065562893982	0.394250513	2.759753593
0.18	1.1112065562893982	0.394250513	2.759753593
0.19	1.1112065562893982	0.394250513	2.759753593
0.2	1.1112065562893982	0.394250513	2.759753593
0.21	1.1112065562893982	0.394250513	2.759753593
0.22	1.208285214099329	0.394250513	2.759753593
0.23	1.7071061048233438	0.821355236	2.661190965
0.24	1.7071061048233438	0.821355236	2.661190965
0.25	1.7015195072370002	0.821355236	2.464065708
0.26	1.9871868584230001	0.919917864	2.759753593
0.27	1.720509240321	0.919917864	2.661190965
0.28	1.8008377823560002	1.281314168	2.661190965
0.29	2.025067761765	1.347022587	2.7934291582249995
0.3	2.010513347007	1.379876797	2.759753593
0.31	1.923121149893	1.412731006	2.661190965
0.32	1.8277125256560003	1.478439425	2.562628337
0.33	1.9835728952510003	1.544147844	2.726899384
0.34	1.9398439425160003	1.609856263	2.595482546
0.35	1.9439835729350003	1.544147844	2.595482546
0.36	1.8789650924360004	1.544147844	2.562628337
0.37	2.012681724894	1.642710472	2.595482546
0.38	2.08910061604	1.642710472	2.595482546
0.39	2.2315893223980003	1.675564682	2.726899384
0.4	2.411400410667	1.77412731	2.858316222
0.41	2.5455770020150004	1.839835729	3.252566735
0.42	2.9949568787549996	2.299794661	4.107597536224999
0.43	3.187186858205	2.299794661	4.73100616
0.44	4.667926078003999	2.726899384	6.143737166
0.45	5.056131416863	2.759753593	7.030800821
0.46	5.428336755599999	3.710882956525	7.195071869
0.47	5.22549486644	3.613963039	7.195071869
0.48	5.601708418830999	3.646817248	7.392197125
0.49	4.5697905543	2.39835729	7.392197125
0.5	3.5726652976560005	2.234086242	6.209445585
0.51	2.9281642710619997	1.675564682	5.223819302
0.52	2.553889117068	1.675564682	3.712525667
0.53	2.763860369636	1.839835729	5.223819302
0.54	2.397667351184	1.675564682	3.613963039
0.55	2.615885010254	1.675564682	3.712525667
0.56	2.5448542094759996	1.839835729	3.712525667
0.57	3.4528459959089997	2.102669405	5.519507187
0.58	3.3781026693949996	2.102669405	5.519507187
0.59	3.4177577002099997	1.938398357	6.767967146
0.6	3.7015523614589996	2.168377823	7.359342916
0.61	4.601691991857	2.726899384	8.739219713
0.62	5.160870636641	3.285420945	8.739219713
0.63	4.992098562707	2.726899384	8.739219713
0.64	5.852451745503	3.285420945	9.330595483
0.65	6.774078029022999	3.285420945	12.09034908
0.66	6.774603696395	3.2714579059750006	12.09034908
0.67	6.688065708648999	2.726899384	12.105954829499986
0.68	7.1971088299399995	3.285420945	13.04312115
0.69	9.744919918959	4.698151951	16.75564682
0.7	10.004763861143998	4.829568789	18.39835729
0.71	11.75612320444	4.698151951	24.87063655
0.72	22.888123204876997	4.698151951	60.0
0.73	22.904024642300996	4.698151951	60.0
0.74	29.568977414392997	3.383983573	60.0
0.75	34.254874744487	3.383983573	60.0
0.76	54.301305955146006	16.75564682	60.0
0.77	51.779761807458996	16.75564682	60.0
0.78	50.173363450221004	16.488706368175013	60.0
0.79	57.70615022850604	6.078028747	60.0
0.8	58.57554722375911	6.078028747	60.0
0.81	59.290500378249995	60.0	60.0
0.82	58.76170838458663	60.0	60.0
0.83	54.84224622797391	6.078028747	60.0
0.84	50.376323931685285	6.078028747	60.0
0.85	51.395430119202125	6.078028747	60.0
0.86	51.395430119202125	6.078028747	60.0
0.87	42.85606953057372	6.078028747	60.0
0.88	60.0	60.0	60.0
0.89	60.0	60.0	60.0
0.9	60.0	60.0	60.0
0.91	60.0	60.0	60.0
0.92	60.0	60.0	60.0
0.93	60.0	60.0	60.0
0.94	60.0	60.0	60.0
0.95	60.0	60.0	60.0
0.96	60.0	60.0	60.0
0.97	60.0	60.0	60.0
0.98	60.0	60.0	60.0
0.99	60.0	60.0	60.0
1.0	60.0	60.0	60.0
