Score	mOS_months	mOS025_months	mOS975_months
0.0	2.5710115906322315	0.919917864	3.383983573
0.01	2.5710115906322315	0.919917864	3.383983573
0.02	2.5710115906322315	0.919917864	3.383983573
0.03	2.5710115906322315	0.919917864	3.383983573
0.04	2.5710115906322315	0.919917864	3.383983573
0.05	1.8708206471586208	0.919917864	3.383983573
0.06	2.295836975870187	0.722792608	7.655030801
0.07	1.557244906779678	0.722792608	2.891170431
0.08	1.7460369609220001	0.821355236	3.383983573
0.09	2.202283367498	0.919917864	4.144558521424996
0.1	2.6479178644189996	0.919917864	5.453798768
0.11	3.772681724877	1.905544148	5.94661191
0.12	3.594907597512	2.036960986	5.94661191
0.13	3.605946611885	2.168377823	5.94661191
0.14	2.971170431216	2.004106776	5.420944559
0.15	3.06326078025	2.036960986	4.632443532
0.16	3.043285420954	2.036960986	4.632443532
0.17	3.078735113008	2.266940452	4.566735113
0.18	3.0691745380619997	2.266940452	4.566735113
0.19	3.23883367556	2.496919918	4.632443532
0.2	3.2708993839779996	2.496919918	4.340862423174997
0.21	3.270242299778	2.562628337	4.205338809
0.22	3.47995071869	2.694045175	4.566735113
0.23	4.127671457867	3.351129363	5.683778234
0.24	4.477535934248	3.515400411	5.782340862
0.25	5.357207392183	3.9088295687750003	6.866529774
0.26	5.751260780292999	4.501026694	7.09650924
0.27	6.801806981595	5.420944559	8.969199179
0.28	7.461848049409	5.848049281	9.133470226
0.29	8.361724846078	6.669404517	9.659137577
0.3	9.374061601661	7.589322382	10.87474333
0.31	9.762332649015999	7.950718686	12.05749487
0.32	10.199753593615998	8.571663244075001	12.45174538
0.33	11.561297741719999	9.691991786	13.83162218
0.34	12.268386036705	10.11909651	14.2587269
0.35	12.514299794837	10.28336756	14.32443532
0.36	13.024657084196999	10.71047228	14.78439425
0.37	13.23893223826	11.40041068	14.81724846
0.38	14.00045995913	12.35318275	15.73716632
0.39	13.680131416870001	12.09034908	15.73716632
0.4	13.465593429323	11.33470226	15.34291581
0.41	13.413092402678002	11.07186858	15.50718686
0.42	13.477158111236	10.97330596	15.50718686
0.43	13.411318275616999	10.94045175	15.50718686
0.44	14.114496920482	11.30184805	17.24845996
0.45	13.786743327838002	11.07186858	16.82135524
0.46	13.823704313375	11.10472279	16.565092401999994
0.47	14.020731007421	11.07186858	17.67556468
0.48	13.726620123833998	10.94045175	19.02258727
0.49	13.803893224731997	11.07186858	20.56673511
0.5	15.328229980517001	11.07186858	20.66529774
0.51	16.057889118284997	11.95893224	21.35523614
0.52	19.28795072064	12.94455852	24.787679668499926
0.53	20.49344558716	13.83162218	27.30184805
0.54	20.877733061279997	13.93018481	27.30184805
0.55	24.057626284370002	19.02258727	28.32032854
0.56	23.53071047337	19.67967146	27.95893224
0.57	24.21562217739	19.8110883	28.12320329
0.58	23.74620944646	19.8110883	28.12320329
0.59	24.9322792613	20.82956879	28.32032854
0.6	25.670611909799998	21.81519507	28.32032854
0.61	26.484862423270002	22.70225873	33.01848049
0.62	26.83932648878	22.70225873	33.01848049
0.63	26.81288706389	22.70225873	33.01848049
0.64	27.443474332830004	22.70225873	35.58110883
0.65	27.078924024920003	20.36960986	35.58110883
0.66	30.24511704283	22.70225873	36.76386037
0.67	30.9610020522	23.91786448	60.0
0.68	32.99751129273	25.49486653	60.0
0.69	39.2299548248	27.79466119	60.0
0.7	41.82731006179	27.33470226	60.0
0.71	41.25435728979	27.33470226	60.0
0.72	41.25249281328	27.33470226	60.0
0.73	51.95859548253	27.33470226	60.0
0.74	41.605806980740006	27.33470226	60.0
0.75	36.7338151953	27.33470226	60.0
0.76	36.44895277209	27.33470226	60.0
0.77	44.52909240348	36.59958932	60.0
0.78	48.193765914809994	36.59958932	60.0
0.79	46.80317043184	32.91991786	60.0
0.8	50.275170432059994	36.59958932	60.0
0.81	50.55275564744	32.91991786	60.0
0.82	53.55655852222	36.59958932	60.0
0.83	52.470792608539995	36.59958932	60.0
0.84	57.97515400452999	39.39219713	60.0
0.85	59.97291991786	60.0	60.0
0.86	59.891679671439995	60.0	60.0
0.87	59.34790965082	60.0	60.0
0.88	59.044607802730006	32.91991786	60.0
0.89	59.54500205335	60.0	60.0
0.9	59.105059548199996	31.83572895	60.0
0.91	59.5770595483	60.0	60.0
0.92	59.544525667399995	60.0	60.0
0.93	58.79453798781001	27.4661191	60.0
0.94	55.62850102717	27.4661191	60.0
0.95	50.41533802510061	25.75770021	60.0
0.96	51.66610350206752	27.4661191	60.0
0.97	52.1337522583494	27.4661191	60.0
0.98	60.0	60.0	60.0
0.99	60.0	60.0	60.0
1.0	60.0	60.0	60.0
